timestamp,content_id
1430668874,9939
1430668910,29242
1430668911,1115
1430668936,2
1430669060,975
1430669092,44776
1430669174,16757
1430669198,14
1430669273,10339
1430669282,727
1430669286,3125
1430669315,848
1430669421,2592
1430669480,115
1430669516,352
1430669522,313
1430669628,74118
1430669650,64
1430669733,457
1430669740,36
1430669745,14
1430669748,1915
1430669755,1329
1430669799,52730
1430669829,975
1430669919,6305
1430670006,70627
1430670054,1329
1430670144,17255
1430670168,106
1430670226,3367
1430670254,2029
1430670375,164132
1430670459,115
1430670508,9684
1430670556,59026
1430670586,5
1430670608,27568
1430670612,1036
1430670644,14
1430670650,115
1430670727,7864
1430670761,5408
1430670776,53
1430670846,55
1430670889,54472
1430670917,399
1430670923,45
1430671034,37239
1430671042,74656
1430671048,48120
1430671277,286
1430671374,54408
1430671477,115
1430671524,3313
1430671639,3412
1430671678,368071
1430671685,5
1430671699,1449
1430671784,974
1430671792,6233
1430671876,1082
1430671952,45
1430671964,1449
1430671968,116
1430672006,8382
1430672008,16836
1430672014,3523
1430672140,2483
1430672145,14
1430672231,107
1430672381,981
1430672462,2483
1430672494,413
1430672497,2483
1430672527,569
1430672637,47
1430672992,45
1430673020,197
1430673055,21422
1430673089,1907
1430673099,1907
1430673166,1981
1430673181,27568
1430673223,55
1430673321,57761
1430673506,1924
1430673621,8
1430673644,48
1430673669,423
1430673697,48
1430673793,405
1430673803,432
1430673874,36
1430673875,423
1430673964,577
1430674119,2475
1430674156,5
1430674156,384
1430674160,14
1430674165,8
1430674170,14
1430674214,14
1430674217,8
1430674246,10278
1430674293,14
1430674314,57208
1430674316,495
1430674438,109
1430674484,354
1430674556,48
1430674560,364
1430674576,2029
1430674663,354
1430674667,4356
1430674721,495
1430674809,8
1430674822,577
1430674849,2029
1430674903,16076
1430675089,45279
1430675159,36
1430675327,133
1430675443,920
1430675460,365
1430675468,364
1430675478,1907
1430675536,36
1430675643,29640
1430675906,67586
1430675975,45
1430676100,598
1430676150,204
1430676203,29242
1430676261,204
1430676308,2
1430676351,1907
1430676360,106
1430676361,1907
1430676404,8962
1430676442,1907
1430676456,2258
1430676469,5
1430676486,1976
1430677132,364
1430677194,495
1430677341,32118
1430677345,107
1430677402,16196
1430677422,14748
1430677687,353
1430677701,353
1430677710,364
1430677726,353
1430677866,32118
1430677887,32118
1430678065,1907
1430678235,849
1430678239,107
1430678285,2194
1430678344,115
1430678355,211
1430678440,897
1430678518,2410
1430678893,15416
1430679090,107
1430679096,44319
1430679179,57
1430679220,3907
1430679454,1805
1430679638,32118
1430679647,107
1430680224,211
1430680414,43402
1430680540,273
1430681138,2719
1430681283,2
1430681309,1815
1430681558,16841
1430681692,1790
1430681744,1790
1430681958,2194
1430682063,3276
1430682113,423
1430682189,1698
1430682263,221
1430682274,48
1430682303,4382
1430682366,4382
1430682429,926
1430682632,4382
1430682637,4382
1430682674,3647
1430682805,211
1430682870,4382
1430682908,3647
1430682915,32953
1430682950,32953
1430682966,32953
1430683168,14707
1430684352,1765
1430684353,16519
1430684574,17479
1430684609,64
1430684933,13483
1430685062,13483
1430685151,1620
1430685269,68
1430685292,3303
1430685328,222
1430685400,12790
1430685620,611
1430686073,779
1430686369,1765
1430686708,12790
1430686852,13528
1430687145,15658
1430687976,56405
1430688402,13899
1430688532,465
1430688546,6613
1430688574,6613
1430688582,637
1430688713,637
1430689781,55306
1430689897,3482
1430689917,17567
1430690355,3081
1430690727,170173
1430691042,5107
1430691192,47199
1430691905,48
1430691918,48
1430691949,107
1430692362,54322
1430692492,13899
1430692698,15672
1430693091,1943
1430693492,12769
1430693642,51374
1430693863,45
1430693904,48
1430694075,12769
1430694227,71227
1430694236,71227
1430694264,3633
1430694384,13673
1430694416,14674
1430694552,727
1430694723,14
1430694796,13673
1430694800,14674
1430694802,768
1430694938,488
1430694979,1512
1430695043,1281
1430695095,36
1430695201,34497
1430695216,412
1430695220,114
1430695252,57920
1430695297,13673
1430695360,51744
1430695382,14
1430695416,8
1430695457,1982
1430695518,18107
1430695579,855
1430695727,3633
1430695909,158658
1430695916,2037
1430695921,14388
1430695945,1999
1430695958,5
1430695962,158658
1430696234,57920
1430696313,8
1430696386,27696
1430696427,96
1430696501,27454
1430696572,107
1430696582,27696
1430696602,5
1430696670,2144
1430696688,8
1430696735,107665
1430696774,954
1430696807,2228
1430696821,18107
1430696854,65203
1430696970,17863
1430696978,14634
1430697010,102654
1430697019,78
1430697022,4002
1430697098,13317
1430697279,312
1430697315,115663
1430697318,8
1430697379,16095
1430697395,20926
1430697419,7494
1430697468,13317
1430697529,43634
1430697581,48
1430697599,848
1430697603,45
1430697614,5
1430697636,51731
1430697638,96
1430697649,43634
1430697657,59
1430697658,0
1430697668,849
1430697680,255
1430697688,982
1430697698,3633
1430697736,20
1430697873,768
1430697949,61136
1430697962,3057
1430698074,19910
1430698083,8275
1430698108,2
1430698152,5538
1430698236,2
1430698264,93397
1430698301,2
1430698324,5
1430698389,2025
1430698559,13481
1430698566,106
1430698608,423
1430698736,43634
1430698976,16732
1430699003,13481
1430699174,27454
1430699181,116
1430699202,2563
1430699233,29085
1430699296,45556
1430699305,198
1430699318,439
1430699334,16095
1430699408,5
1430699465,1834
1430699467,580
1430699634,198
1430699715,2
1430699721,14
1430699730,1013
1430699813,15566
1430699918,115
1430699943,45556
1430700073,175
1430700131,312
1430700215,15566
1430700263,2909
1430700271,8755
1430700307,116
1430700366,14748
1430700414,918
1430700450,975
1430700486,16095
1430700496,4975
1430700574,14049
1430700628,1464
1430700654,144
1430700702,2169
1430700764,1830
1430700781,2436
1430700790,66811
1430700797,22292
1430700849,1295
1430700854,4083
1430700855,7219
1430700868,15416
1430700875,49021
1430700883,122935
1430700896,133
1430700917,133
1430700918,7219
1430700930,36
1430700948,6571
1430700988,5687
1430701084,56676
1430701093,129425
1430701165,36
1430701170,14
1430701218,45
1430701255,41563
1430701404,4916
1430701528,14
1430701619,439
1430701624,3055
1430701642,38659
1430701697,133
1430701742,10929
1430701746,10862
1430701783,11331
1430701896,8829
1430701900,45
1430701907,5
1430701951,115
1430701960,56676
1430701969,11643
1430701984,198
1430702046,7047
1430702050,213
1430702117,4081
1430702153,79827
1430702174,768
1430702174,569
1430702186,409
1430702239,19140
1430702322,14
1430702342,8
1430702516,59369
1430702630,2386
1430702680,606
1430702682,48
1430702716,599
1430702810,3042
1430702847,45
1430702885,1138
1430702934,8
1430702962,5
1430703071,1475
1430703077,5955
1430703079,107
1430703098,11268
1430703102,4744
1430703149,12308
1430703206,17946
1430703255,423
1430703440,920
1430703488,198
1430703530,26
1430703547,622
1430703641,53318
1430703879,71
1430703986,4769
1430704119,54705
1430704283,10067
1430704286,116
1430704292,142433
1430704294,4433
1430704365,48
1430704383,23310
1430704399,88103
1430704428,834
1430704433,0
1430704435,52156
1430704437,3417
1430704471,964
1430704490,21546
1430704495,42015
1430704547,2409
1430704641,48
1430704798,36
1430704815,352
1430704821,9090
1430704825,0
1430704826,5792
1430704852,106
1430704915,2
1430704945,1413
1430704945,198
1430704964,45
1430705195,60247
1430705224,68
1430705292,116
1430705313,4650
1430705350,1712
1430705367,423
1430705470,45
1430705543,10961
1430705616,5
1430705745,599
1430705810,5
1430705944,107
1430706003,109
1430706026,3618
1430706152,38181
1430706169,338
1430706197,347637
1430706355,1071
1430706364,5
1430706443,5
1430706502,33459
1430706518,61253
1430706562,599
1430706605,157534
1430706649,50734
1430706655,0
1430706661,619
1430706906,5
1430706956,45
1430707103,495
1430707152,3742
1430707187,1413
1430707267,9553
1430707291,63011
1430707297,59
1430707298,64
1430707304,68
1430707329,3902
1430707332,3837
1430707498,6291
1430707573,63011
1430707641,45
1430707694,63
1430707747,115
1430707897,115
1430707923,115
1430707968,50448
1430707997,975
1430708121,51349
1430708122,50448
1430708128,343
1430708139,343
1430708161,67312
1430708210,63
1430708268,50448
1430708287,2
1430708524,834
1430708660,63
1430708761,36
1430708775,36
1430709041,52742
1430709116,63
1430709235,53
1430709252,9796
1430709294,53195
1430709516,12192
1430709709,52742
1430709755,876
1430709928,7234
1430710022,105929
1430710034,105929
1430710305,32468
1430710382,5
1430710399,5
1430710418,2
1430710482,48
1430710512,54030
1430710695,63
1430710727,45
1430710732,63
1430710749,175
1430710761,48
1430710774,5
1430710879,0
1430711073,116
1430711082,0
1430711106,0
1430711120,8
1430711145,5289
1430711148,63333
1430711153,63
1430711173,115
1430711199,45
1430711275,48
1430711280,215
1430711321,0
1430711336,343
1430711348,0
1430711377,1329
1430711404,59
1430711425,64
1430711430,220
1430711441,1240
1430711455,220
1430711490,94
1430711527,94
1430711550,64
1430711551,5408
1430711568,20
1430711599,2047
1430711611,0
1430711639,12585
1430711654,7853
1430711663,45
1430711707,64
1430711713,253
1430711727,0
1430711730,0
1430711743,138762
1430711848,0
1430711853,64
1430711944,20
1430711980,1345
1430711980,2
1430711987,0
1430712001,45
1430712090,312
1430712113,5
1430712146,64
1430712155,2
1430712163,48
1430712169,52513
1430712181,8
1430712212,48
1430712218,57
1430712235,55
1430712247,8
1430712249,45
1430712273,0
1430712316,62883
1430712366,5735
1430712389,883
1430712390,53195
1430712424,53195
1430712428,312
1430712442,8205
1430712533,3055
1430712570,48
1430712659,1692
1430712715,13268
1430712856,18428
1430712889,30393
1430712936,1886
1430712995,1634
1430713001,115
1430713034,38388
1430713106,8
1430713137,15000
1430713170,8
1430713196,5
1430713271,10929
1430713285,5
1430713402,342
1430713474,33313
1430713483,33313
1430713505,20295
1430713665,115
1430713738,5
1430713749,13702
1430713835,57
1430713919,116
1430713938,5
1430713945,20865
1430713990,48
1430713998,33313
1430714091,5
1430714178,48
1430714182,589
1430714203,876
1430714299,1263
1430714333,4110
1430714344,4110
1430714375,458
1430714425,12113
1430714433,45
1430714433,31397
1430714451,51584
1430714456,4547
1430714465,3057
1430714478,11822
1430714479,5
1430714497,3100
1430714534,650
1430714567,5
1430714577,76035
1430714649,1319
1430714653,4651
1430714663,7844
1430714686,36
1430714719,53
1430714810,12981
1430714874,4409
1430714931,3408
1430714937,65588
1430714965,3681
1430714999,628
1430715051,3434
1430715055,628
1430715088,2552
1430715103,108
1430715150,975
1430715166,393
1430715175,0
1430715181,26053
1430715191,7189
1430715193,619
1430715202,14209
1430715204,876
1430715216,52962
1430715249,574
1430715296,541
1430715427,86118
1430715455,115
1430715519,3681
1430715525,488
1430715559,4233
1430715600,4017
1430715637,1263
1430715680,5289
1430715734,47
1430715772,9796
1430715782,47
1430715796,20
1430715801,5
1430715820,19604
1430715875,45
1430715886,5
1430715950,6368
1430716071,48
1430716152,175
1430716164,175
1430716174,4757
1430716207,12789
1430716212,4757
1430716218,62318
1430716385,68034
1430716400,2464
1430716408,4058
1430716682,17072
1430716703,343
1430716705,0
1430716708,53648
1430716740,878
1430716803,579
1430716972,3143
1430717123,936
1430717134,779
1430717280,14
1430717451,582
1430717490,1813
1430717508,5
1430717613,8
1430717645,1312
1430717673,878
1430717713,249
